Filename,Scale,Raga
Aayiram Thamarai 3,D,Shubhapantuvarali
Aayiram Thamarai 4,D#,Shubhapantuvarali
Aayiram Thamarai 5,E,Shubhapantuvarali
Aayiram Thamarai 6,F,Shubhapantuvarali
Aayiram Thamarai 7,F#,Shubhapantuvarali
Aayiram Thamarai 8,G,Shubhapantuvarali
Aayiram Thamarai 9,Ab,Shubhapantuvarali
Aayiram Thamarai 10,A,Shubhapantuvarali
Aayiram Thamarai 11,Bb,Shubhapantuvarali
Aayiram Thamarai 12,B,Shubhapantuvarali
Maalai En Vethanai 1,D,Dheerashankarabharanam
Rakita Rakita Rakita 1,F,Dheerashankarabharanam
Rakita Rakita Rakita 2,F#,Dheerashankarabharanam
Rakita Rakita Rakita 3,G,Dheerashankarabharanam
Rakita Rakita Rakita 4,Ab,Dheerashankarabharanam
Rakita Rakita Rakita 5,A,Dheerashankarabharanam
Rakita Rakita Rakita 6,Bb,Dheerashankarabharanam
Rakita Rakita Rakita 7,B,Dheerashankarabharanam
Rakita Rakita Rakita 8,C,Dheerashankarabharanam
Rakita Rakita Rakita 9,C#,Dheerashankarabharanam
Rakita Rakita Rakita 10,D,Dheerashankarabharanam
Rakita Rakita Rakita 11,D#,Dheerashankarabharanam
Rakita Rakita Rakita 12,E,Dheerashankarabharanam
Usurae Poguthey 1,A,Hanumatodi
Usurae Poguthey 2,Bb,Hanumatodi
Usurae Poguthey 3,B,Hanumatodi
Usurae Poguthey 4,C,Hanumatodi
Usurae Poguthey 5,C#,Hanumatodi
Usurae Poguthey 6,D,Hanumatodi
Usurae Poguthey 7,D#,Hanumatodi
Usurae Poguthey 8,E,Hanumatodi
Usurae Poguthey 9,F,Hanumatodi
Usurae Poguthey 10,F#,Hanumatodi
Usurae Poguthey 11,G,Hanumatodi
Usurae Poguthey 12,Ab,Hanumatodi
Uyire Uyire 1,D#,Harikhamboji
Uyire Uyire 2,E,Harikhamboji
Uyire Uyire 3,F,Harikhamboji
Uyire Uyire 4,F#,Harikhamboji
Uyire Uyire 5,G,Harikhamboji
Uyire Uyire 6,Ab,Harikhamboji
Uyire Uyire 7,Ab,Harikhamboji
Uyire Uyire 8,Bb,Harikhamboji
Uyire Uyire 9,Bb,Harikhamboji
Uyire Uyire 10,C,Harikhamboji
Uyire Uyire 11,C#,Harikhamboji
Uyire Uyire 12,D,Harikhamboji
Sara Sara Saara Kathu 1,B,Kalyani
Sara Sara Saara Kathu 2,C,Kalyani
Sara Sara Saara Kathu 3,C#,Kalyani
Sara Sara Saara Kathu 4,D,Kalyani
Sara Sara Saara Kathu 5,D#,Kalyani
Sara Sara Saara Kathu 6,E,Kalyani
Sara Sara Saara Kathu 7,F,Kalyani
Sara Sara Saara Kathu 8,F#,Kalyani
Sara Sara Saara Kathu 9,G,Kalyani
Sara Sara Saara Kathu 10,Ab,Kalyani
Sara Sara Saara Kathu 11,A,Kalyani
Sara Sara Saara Kathu 12,Bb,Kalyani
Poovum Malarnthida 1,D,Kamarvardhani
Poovum Malarnthida 2,D#,Kamarvardhani
Poovum Malarnthida 3,E,Kamarvardhani
Poovum Malarnthida 4,F,Kamarvardhani
Poovum Malarnthida 5,F#,Kamarvardhani
Poovum Malarnthida 6,G,Kamarvardhani
Poovum Malarnthida 7,Ab,Kamarvardhani
Poovum Malarnthida 8,A,Kamarvardhani
Poovum Malarnthida 9,Bb,Kamarvardhani
Poovum Malarnthida 10,B,Kamarvardhani
Poovum Malarnthida 11,C,Kamarvardhani
Poovum Malarnthida 12,C#,Kamarvardhani
Yaar Ezhudhiyadho 1,E,Karaharapriya
Yaar Ezhudhiyadho 2,F,Karaharapriya
Yaar Ezhudhiyadho 3,F#,Karaharapriya
Yaar Ezhudhiyadho 4,G,Karaharapriya
Yaar Ezhudhiyadho 5,Ab,Karaharapriya
Yaar Ezhudhiyadho 6,Ab,Karaharapriya
Yaar Ezhudhiyadho 7,Bb,Karaharapriya
Yaar Ezhudhiyadho 8,Bb,Karaharapriya
Yaar Ezhudhiyadho 9,C,Karaharapriya
Yaar Ezhudhiyadho 10,C#,Karaharapriya
Yaar Ezhudhiyadho 11,D,Karaharapriya
Yaar Ezhudhiyadho 12,D#,Karaharapriya
Poongathavae 1,C#,Mayamalavagowlai
Poongathavae 2,D,Mayamalavagowlai
Poongathavae 3,D#,Mayamalavagowlai
Poongathavae 4,E,Mayamalavagowlai
Poongathavae 5,F,Mayamalavagowlai
Poongathavae 6,F#,Mayamalavagowlai
Poongathavae 7,G,Mayamalavagowlai
Poongathavae 8,Ab,Mayamalavagowlai
Poongathavae 9,A,Mayamalavagowlai
Poongathavae 10,Bb,Mayamalavagowlai
Poongathavae 11,B,Mayamalavagowlai
Poongathavae 12,C,Mayamalavagowlai
Kadhale Kadhale 1,A,Natabhairavi
Kadhale Kadhale 2,Bb,Natabhairavi
Kadhale Kadhale 3,B,Natabhairavi
Kadhale Kadhale 4,C,Natabhairavi
Kadhale Kadhale 5,C#,Natabhairavi
Kadhale Kadhale 6,D,Natabhairavi
Kadhale Kadhale 7,D#,Natabhairavi
Kadhale Kadhale 8,E,Natabhairavi
Kadhale Kadhale 9,F,Natabhairavi
Kadhale Kadhale 10,F#,Natabhairavi
Kadhale Kadhale 11,G,Natabhairavi
Kadhale Kadhale 12,Ab,Natabhairavi
